item_id,task,category,target,distractor,target_support,distractor_support,support_gap,abs_support_gap,evidence_direction,target_aligned,ambiguous_direction,abs_gap_ge_0p05,target_gap_ge_0p05,distractor_gap_ge_0p05,abs_gap_ge_0p1,target_gap_ge_0p1,distractor_gap_ge_0p1,abs_gap_ge_0p25,target_gap_ge_0p25,distractor_gap_ge_0p25
fever_106579,fever_label,fever_label,refuted,supported,1.0,1.0,0.0,0.0,ambiguous,False,True,False,False,False,False,False,False,False,False,False
fever_146762,fever_label,fever_label,supported,refuted,1.0,1.0,0.0,0.0,ambiguous,False,True,False,False,False,False,False,False,False,False,False
fever_39665,fever_label,fever_label,supported,refuted,1.0,1.0,0.0,0.0,ambiguous,False,True,False,False,False,False,False,False,False,False,False
fever_61652,fever_label,fever_label,supported,refuted,1.0,1.0,0.0,0.0,ambiguous,False,True,False,False,False,False,False,False,False,False,False
fever_226072,fever_label,fever_label,supported,refuted,1.0,1.0,0.0,0.0,ambiguous,False,True,False,False,False,False,False,False,False,False,False
fever_16126,fever_label,fever_label,supported,refuted,1.0,1.0,0.0,0.0,ambiguous,False,True,False,False,False,False,False,False,False,False,False
fever_112677,fever_label,fever_label,supported,refuted,1.0,1.0,0.0,0.0,ambiguous,False,True,False,False,False,False,False,False,False,False,False
fever_65713,fever_label,fever_label,supported,refuted,1.0,1.0,0.0,0.0,ambiguous,False,True,False,False,False,False,False,False,False,False,False
fever_135289,fever_label,fever_label,supported,refuted,1.0,1.0,0.0,0.0,ambiguous,False,True,False,False,False,False,False,False,False,False,False
fever_21628,fever_label,fever_label,refuted,supported,1.0,1.0,0.0,0.0,ambiguous,False,True,False,False,False,False,False,False,False,False,False
fever_213893,fever_label,fever_label,refuted,supported,1.0,1.0,0.0,0.0,ambiguous,False,True,False,False,False,False,False,False,False,False,False
fever_49176,fever_label,fever_label,supported,refuted,1.0,1.0,0.0,0.0,ambiguous,False,True,False,False,False,False,False,False,False,False,False
fever_42062,fever_label,fever_label,supported,refuted,1.0,1.0,0.0,0.0,ambiguous,False,True,False,False,False,False,False,False,False,False,False
fever_166358,fever_label,fever_label,supported,refuted,1.0,1.0,0.0,0.0,ambiguous,False,True,False,False,False,False,False,False,False,False,False
fever_97463,fever_label,fever_label,refuted,supported,1.0,1.0,0.0,0.0,ambiguous,False,True,False,False,False,False,False,False,False,False,False
fever_40254,fever_label,fever_label,supported,refuted,1.0,1.0,0.0,0.0,ambiguous,False,True,False,False,False,False,False,False,False,False,False
fever_4975,fever_label,fever_label,refuted,supported,1.0,1.0,0.0,0.0,ambiguous,False,True,False,False,False,False,False,False,False,False,False
fever_181572,fever_label,fever_label,supported,refuted,1.0,1.0,0.0,0.0,ambiguous,False,True,False,False,False,False,False,False,False,False,False
fever_65375,fever_label,fever_label,supported,refuted,1.0,1.0,0.0,0.0,ambiguous,False,True,False,False,False,False,False,False,False,False,False
fever_21098,fever_label,fever_label,supported,refuted,1.0,1.0,0.0,0.0,ambiguous,False,True,False,False,False,False,False,False,False,False,False
