item_id,task,category,target,distractor,target_support,distractor_support,support_gap,abs_support_gap,evidence_direction,target_aligned,ambiguous_direction,abs_gap_ge_0p05,target_gap_ge_0p05,distractor_gap_ge_0p05,abs_gap_ge_0p1,target_gap_ge_0p1,distractor_gap_ge_0p1,abs_gap_ge_0p25,target_gap_ge_0p25,distractor_gap_ge_0p25
memotrap_0,memotrap,round_2,heavy.,fonder.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_1,memotrap,round_2,returned.,forgotten.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_2,memotrap,round_2,background.,wrong.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_3,memotrap,round_2,way.,families.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_4,memotrap,round_2,thoughts.,words.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_5,memotrap,round_2,me.,ourselves.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_6,memotrap,round_2,down.,backwards.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_7,memotrap,round_2,appreciated.,heeded.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_8,memotrap,round_2,college.,war.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_9,memotrap,round_2,business.,risks.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_10,memotrap,round_2,life.,war.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_12,memotrap,round_2,country.,melting-pot.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_13,memotrap,round_2,sink.,hold.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_14,memotrap,round_2,alive.,poor.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_15,memotrap,round_2,wounds.,anger.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_16,memotrap,round_2,offence.,offense.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_17,memotrap,round_2,song.,platitude.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_18,memotrap,round_2,barrel.,flock.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_19,memotrap,round_2,busy.,away.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_20,memotrap,round_2,head.,companions.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_21,memotrap,round_2,reason.,aim.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_23,memotrap,round_2,leave.,bray.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_24,memotrap,round_2,child.,baby.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_25,memotrap,round_2,others.,bathwater.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_26,memotrap,round_2,word.,choice.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_27,memotrap,round_2,settlement.,lawsuit.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_28,memotrap,round_2,employer.,tools.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_29,memotrap,round_2,ones.,customs.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_30,memotrap,round_2,die.,bite.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_31,memotrap,round_2,bark.,bite.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
