Threshold,Consecutive,Model,RecoverySteps_mean,RecoverySteps_std,MSE_mean,NSeeds
1.5,1,MovingAvg,8.466666666666667,0.8603661343041525,5.939360807333148,30
1.5,1,EMA,7.633333333333334,1.2452207485597395,4.86117629848398,30
1.5,1,Kalman,15.666666666666666,2.005738892714385,7.558940301941294,30
1.5,1,ErrorLR,1.8333333333333333,0.8339078479367938,2.1676452879240298,30
1.5,1,PCCF,3.2,0.7143842296595069,2.593438021755255,30
1.5,1,PH_Reset_MovingAvg,3.433333333333333,0.8976341829703132,4.608737918627028,30
1.5,1,PH_Reset_EMA,3.8666666666666667,0.8995528902176072,4.2600948777077265,30
1.5,3,MovingAvg,9.4,1.4527025943345069,5.939360807333148,30
1.5,3,EMA,10.5,3.7022826137025437,4.86117629848398,30
1.5,3,Kalman,21.933333333333334,4.440668894421768,7.558940301941294,30
1.5,3,ErrorLR,3.3666666666666667,2.5795392977246436,2.1676452879240298,30
1.5,3,PCCF,5.5,2.239919949308534,2.593438021755255,30
1.5,3,PH_Reset_MovingAvg,5.333333333333333,2.617360256564556,4.608737918627028,30
1.5,3,PH_Reset_EMA,5.666666666666667,2.758477007752439,4.2600948777077265,30
1.5,5,MovingAvg,12.233333333333333,6.234958912749799,5.939360807333148,30
1.5,5,EMA,13.566666666666666,6.526779494874378,4.86117629848398,30
1.5,5,Kalman,26.466666666666665,6.425881575549655,7.558940301941294,30
1.5,5,ErrorLR,5.166666666666667,3.705385952565706,2.1676452879240298,30
1.5,5,PCCF,8.5,4.376662245797944,2.593438021755255,30
1.5,5,PH_Reset_MovingAvg,7.633333333333334,5.659799760886717,4.608737918627028,30
1.5,5,PH_Reset_EMA,8.333333333333334,6.697057168088358,4.2600948777077265,30
2.0,1,MovingAvg,8.2,0.8469010445797931,5.939360807333148,30
2.0,1,EMA,6.966666666666667,1.5862193902556445,4.86117629848398,30
2.0,1,Kalman,14.066666666666666,1.7207322686083055,7.558940301941294,30
2.0,1,ErrorLR,1.2,0.4068381021724862,2.1676452879240298,30
2.0,1,PCCF,2.9,0.6617635789938568,2.593438021755255,30
2.0,1,PH_Reset_MovingAvg,3.1666666666666665,0.461133037377414,4.608737918627028,30
2.0,1,PH_Reset_EMA,3.566666666666667,0.7279320417946062,4.2600948777077265,30
2.0,3,MovingAvg,8.766666666666667,1.4064710873459965,5.939360807333148,30
2.0,3,EMA,8.866666666666667,1.8332810859848758,4.86117629848398,30
2.0,3,Kalman,17.9,3.335803682307541,7.558940301941294,30
2.0,3,ErrorLR,1.4666666666666666,1.3321834121764766,2.1676452879240298,30
2.0,3,PCCF,3.8333333333333335,1.5554871358790008,2.593438021755255,30
2.0,3,PH_Reset_MovingAvg,4.0,1.7616606585441104,4.608737918627028,30
2.0,3,PH_Reset_EMA,4.3,1.725068714273584,4.2600948777077265,30
2.0,5,MovingAvg,9.5,2.2856373139749193,5.939360807333148,30
2.0,5,EMA,9.666666666666666,2.630501896955229,4.86117629848398,30
2.0,5,Kalman,22.166666666666668,5.65126371789491,7.558940301941294,30
2.0,5,ErrorLR,2.066666666666667,2.3034207445529318,2.1676452879240298,30
2.0,5,PCCF,5.133333333333334,2.837353469810146,2.593438021755255,30
2.0,5,PH_Reset_MovingAvg,4.333333333333333,2.1708624272765236,4.608737918627028,30
2.0,5,PH_Reset_EMA,5.0,2.7667982242644844,4.2600948777077265,30
2.5,1,MovingAvg,7.933333333333334,0.8276819867946675,5.939360807333148,30
2.5,1,EMA,6.066666666666666,1.4125870942531562,4.86117629848398,30
2.5,1,Kalman,12.133333333333333,2.1129050655654065,7.558940301941294,30
2.5,1,ErrorLR,1.1,0.3051285766293647,2.1676452879240298,30
2.5,1,PCCF,2.466666666666667,0.6288102248298566,2.593438021755255,30
2.5,1,PH_Reset_MovingAvg,3.1333333333333333,0.43417248545530474,4.608737918627028,30
2.5,1,PH_Reset_EMA,3.466666666666667,0.6288102248298566,4.2600948777077265,30
2.5,3,MovingAvg,8.233333333333333,1.0063019815944514,5.939360807333148,30
2.5,3,EMA,7.7,1.3429252681597994,4.86117629848398,30
2.5,3,Kalman,15.533333333333333,1.960530071414244,7.558940301941294,30
2.5,3,ErrorLR,1.1,0.3051285766293647,2.1676452879240298,30
2.5,3,PCCF,2.966666666666667,1.188546876720022,2.593438021755255,30
2.5,3,PH_Reset_MovingAvg,3.4,0.8944271909999159,4.608737918627028,30
2.5,3,PH_Reset_EMA,3.7,1.1788363637137231,4.2600948777077265,30
2.5,5,MovingAvg,8.366666666666667,1.2172137016162359,5.939360807333148,30
2.5,5,EMA,8.3,1.7840287611722112,4.86117629848398,30
2.5,5,Kalman,17.666666666666668,3.8803957613068043,7.558940301941294,30
2.5,5,ErrorLR,1.7,1.5569643319724709,2.1676452879240298,30
2.5,5,PCCF,3.1,1.398274799098197,2.593438021755255,30
2.5,5,PH_Reset_MovingAvg,3.566666666666667,1.2228664272317622,4.608737918627028,30
2.5,5,PH_Reset_EMA,3.8333333333333335,1.4162440207947151,4.2600948777077265,30
