item_id,task,category,baseline,pi,conflict_aware,target,distractor,p_target,p_distractor,margin,prefers_target
memotrap_0,memotrap,round_2,standard,1.0,False,heavy.,fonder.,0.07491027361229999,0.9250897263877,-0.8501794527754001,False
memotrap_0,memotrap,round_2,pccf_pid_lite,0.4,False,heavy.,fonder.,0.5013202764452324,0.4986797235547676,0.0026405528904647757,True
memotrap_1,memotrap,round_2,standard,1.0,False,returned.,forgotten.,0.32157309454298927,0.6784269054570107,-0.3568538109140214,False
memotrap_1,memotrap,round_2,pccf_pid_lite,1.0,False,returned.,forgotten.,0.32157309454298927,0.6784269054570107,-0.3568538109140214,False
memotrap_2,memotrap,round_2,standard,1.0,False,background.,wrong.,0.9991951711591925,0.0008048288408074567,0.9983903423183851,True
memotrap_2,memotrap,round_2,pccf_pid_lite,1.0,False,background.,wrong.,0.9991951711591925,0.0008048288408074567,0.9983903423183851,True
memotrap_3,memotrap,round_2,standard,1.0,False,way.,families.,0.7727429556444951,0.22725704435550478,0.5454859112889904,True
memotrap_3,memotrap,round_2,pccf_pid_lite,0.4,False,way.,families.,0.8141240354780168,0.18587596452198316,0.6282480709560336,True
memotrap_4,memotrap,round_2,standard,1.0,False,thoughts.,words.,0.4456264157208479,0.5543735842791522,-0.1087471685583043,False
memotrap_4,memotrap,round_2,pccf_pid_lite,0.4,False,thoughts.,words.,0.5331087254445046,0.4668912745554954,0.06621745088900921,True
memotrap_5,memotrap,round_2,standard,1.0,False,me.,ourselves.,0.13585081968533144,0.8641491803146686,-0.7282983606293372,False
memotrap_5,memotrap,round_2,pccf_pid_lite,0.4,False,me.,ourselves.,0.1550628543105672,0.8449371456894327,-0.6898742913788655,False
memotrap_6,memotrap,round_2,standard,1.0,False,down.,backwards.,0.21653935107117997,0.78346064892882,-0.56692129785764,False
memotrap_6,memotrap,round_2,pccf_pid_lite,1.0,False,down.,backwards.,0.21653935107117997,0.78346064892882,-0.56692129785764,False
memotrap_7,memotrap,round_2,standard,1.0,False,appreciated.,heeded.,0.8799418211576386,0.12005817884236133,0.7598836423152773,True
memotrap_7,memotrap,round_2,pccf_pid_lite,1.4,False,appreciated.,heeded.,0.9133126410385518,0.08668735896144818,0.8266252820771036,True
memotrap_8,memotrap,round_2,standard,1.0,False,college.,war.,0.9967081062013754,0.003291893798624756,0.9934162124027507,True
memotrap_8,memotrap,round_2,pccf_pid_lite,1.0,False,college.,war.,0.9967081062013754,0.003291893798624756,0.9934162124027507,True
memotrap_9,memotrap,round_2,standard,1.0,False,business.,risks.,0.9829808758402176,0.017019124159782247,0.9659617516804354,True
memotrap_9,memotrap,round_2,pccf_pid_lite,1.0,False,business.,risks.,0.9829808758402176,0.017019124159782247,0.9659617516804354,True
memotrap_10,memotrap,round_2,standard,1.0,False,life.,war.,0.9255918258633652,0.07440817413663495,0.8511836517267303,True
memotrap_10,memotrap,round_2,pccf_pid_lite,1.4,False,life.,war.,0.9602129522017484,0.0397870477982516,0.9204259044034968,True
memotrap_12,memotrap,round_2,standard,1.0,False,country.,melting-pot.,0.1330063564059937,0.8669936435940062,-0.7339872871880125,False
memotrap_12,memotrap,round_2,pccf_pid_lite,0.4,False,country.,melting-pot.,0.484451714500102,0.515548285499898,-0.03109657099979596,False
memotrap_13,memotrap,round_2,standard,1.0,False,sink.,hold.,0.9894542779791478,0.010545722020852388,0.9789085559582954,True
memotrap_13,memotrap,round_2,pccf_pid_lite,1.0,False,sink.,hold.,0.9894542779791478,0.010545722020852388,0.9789085559582954,True
memotrap_14,memotrap,round_2,standard,1.0,False,alive.,poor.,0.9463600933597093,0.053639906640290856,0.8927201867194184,True
memotrap_14,memotrap,round_2,pccf_pid_lite,1.0,False,alive.,poor.,0.9463600933597093,0.053639906640290856,0.8927201867194184,True
memotrap_15,memotrap,round_2,standard,1.0,False,wounds.,anger.,0.9908177183765018,0.00918228162349822,0.9816354367530036,True
memotrap_15,memotrap,round_2,pccf_pid_lite,1.0,False,wounds.,anger.,0.9908177183765018,0.00918228162349822,0.9816354367530036,True
memotrap_16,memotrap,round_2,standard,1.0,False,offence.,offense.,0.6165088963718582,0.38349110362814187,0.23301779274371637,True
memotrap_16,memotrap,round_2,pccf_pid_lite,1.0,False,offence.,offense.,0.6165088963718582,0.38349110362814187,0.23301779274371637,True
memotrap_17,memotrap,round_2,standard,1.0,False,song.,platitude.,0.3942141179149811,0.6057858820850189,-0.2115717641700378,False
memotrap_17,memotrap,round_2,pccf_pid_lite,1.4,False,song.,platitude.,0.41829963999019093,0.5817003600098091,-0.16340072001961814,False
memotrap_18,memotrap,round_2,standard,1.0,False,barrel.,flock.,0.5484897153194965,0.45151028468050347,0.09697943063899306,True
memotrap_18,memotrap,round_2,pccf_pid_lite,0.4,False,barrel.,flock.,0.8335351183609521,0.16646488163904788,0.6670702367219041,True
memotrap_19,memotrap,round_2,standard,1.0,False,busy.,away.,0.607952417427487,0.392047582572513,0.21590483485497397,True
memotrap_19,memotrap,round_2,pccf_pid_lite,0.4,False,busy.,away.,0.8385137971775066,0.16148620282249335,0.6770275943550133,True
memotrap_20,memotrap,round_2,standard,1.0,False,head.,companions.,0.437374889677951,0.562625110322049,-0.12525022064409796,False
memotrap_20,memotrap,round_2,pccf_pid_lite,0.4,False,head.,companions.,0.47212081462608085,0.5278791853739191,-0.05575837074783824,False
memotrap_21,memotrap,round_2,standard,1.0,False,reason.,aim.,0.8588580434204304,0.1411419565795696,0.7177160868408607,True
memotrap_21,memotrap,round_2,pccf_pid_lite,0.4,False,reason.,aim.,0.9170904004324806,0.0829095995675194,0.8341808008649612,True
memotrap_23,memotrap,round_2,standard,1.0,False,leave.,bray.,0.9861716776198398,0.013828322380160197,0.9723433552396796,True
memotrap_23,memotrap,round_2,pccf_pid_lite,1.0,False,leave.,bray.,0.9861716776198398,0.013828322380160197,0.9723433552396796,True
memotrap_24,memotrap,round_2,standard,1.0,False,child.,baby.,0.5847838753496623,0.41521612465033775,0.1695677506993245,True
memotrap_24,memotrap,round_2,pccf_pid_lite,1.0,False,child.,baby.,0.5847838753496623,0.41521612465033775,0.1695677506993245,True
