item_id,task,category,baseline,pi,conflict_aware,target,distractor,p_target,p_distractor,margin,prefers_target
memotrap_0,memotrap,round_2,standard,1.0,False,heavy.,fonder.,0.0749102736122999,0.9250897263877,-0.8501794527754001,False
memotrap_0,memotrap,round_2,global_pccf_pi0.7,0.7,False,heavy.,fonder.,0.2291764532778758,0.770823546722124,-0.5416470934442482,False
memotrap_0,memotrap,round_2,conflict_prompt,1.0,True,heavy.,fonder.,0.2538615573595469,0.746138442640453,-0.4922768852809061,False
memotrap_0,memotrap,round_2,conflict_prompt_pccf_pi0.7,0.7,True,heavy.,fonder.,0.5769835529063729,0.423016447093627,0.1539671058127459,True
memotrap_1,memotrap,round_2,standard,1.0,False,returned.,forgotten.,0.3215730945429892,0.6784269054570107,-0.3568538109140214,False
memotrap_1,memotrap,round_2,global_pccf_pi0.7,0.7,False,returned.,forgotten.,0.3536497833388583,0.6463502166611418,-0.2927004333222834,False
memotrap_1,memotrap,round_2,conflict_prompt,1.0,True,returned.,forgotten.,0.8638653017522218,0.1361346982477783,0.7277306035044434,True
memotrap_1,memotrap,round_2,conflict_prompt_pccf_pi0.7,0.7,True,returned.,forgotten.,0.7048252175118289,0.2951747824881711,0.4096504350236578,True
memotrap_2,memotrap,round_2,standard,1.0,False,background.,wrong.,0.9991951711591924,0.0008048288408074,0.9983903423183852,True
memotrap_2,memotrap,round_2,global_pccf_pi0.7,0.7,False,background.,wrong.,0.9983555691021186,0.0016444308978813,0.9967111382042372,True
memotrap_2,memotrap,round_2,conflict_prompt,1.0,True,background.,wrong.,0.9981064706303024,0.0018935293696976,0.9962129412606048,True
memotrap_2,memotrap,round_2,conflict_prompt_pccf_pi0.7,0.7,True,background.,wrong.,0.993797874307643,0.0062021256923569,0.987595748615286,True
memotrap_3,memotrap,round_2,standard,1.0,False,way.,families.,0.7727429556444951,0.2272570443555047,0.5454859112889904,True
memotrap_3,memotrap,round_2,global_pccf_pi0.7,0.7,False,way.,families.,0.7597702059714396,0.2402297940285602,0.5195404119428794,True
memotrap_3,memotrap,round_2,conflict_prompt,1.0,True,way.,families.,0.7329264633510042,0.2670735366489958,0.4658529267020083,True
memotrap_3,memotrap,round_2,conflict_prompt_pccf_pi0.7,0.7,True,way.,families.,0.8270260380061712,0.1729739619938287,0.6540520760123425,True
memotrap_4,memotrap,round_2,standard,1.0,False,thoughts.,words.,0.4456264157208479,0.5543735842791522,-0.1087471685583043,False
memotrap_4,memotrap,round_2,global_pccf_pi0.7,0.7,False,thoughts.,words.,0.3544127743898358,0.6455872256101642,-0.2911744512203284,False
memotrap_4,memotrap,round_2,conflict_prompt,1.0,True,thoughts.,words.,0.3737343953614994,0.6262656046385006,-0.2525312092770011,False
memotrap_4,memotrap,round_2,conflict_prompt_pccf_pi0.7,0.7,True,thoughts.,words.,0.4085191430717854,0.5914808569282146,-0.1829617138564291,False
memotrap_5,memotrap,round_2,standard,1.0,False,me.,ourselves.,0.1358508196853314,0.8641491803146686,-0.7282983606293372,False
memotrap_5,memotrap,round_2,global_pccf_pi0.7,0.7,False,me.,ourselves.,0.2086769306501602,0.7913230693498399,-0.5826461386996796,False
memotrap_5,memotrap,round_2,conflict_prompt,1.0,True,me.,ourselves.,0.31011673729225,0.6898832627077501,-0.3797665254155001,False
memotrap_5,memotrap,round_2,conflict_prompt_pccf_pi0.7,0.7,True,me.,ourselves.,0.5345394385088801,0.4654605614911198,0.0690788770177602,True
memotrap_6,memotrap,round_2,standard,1.0,False,down.,backwards.,0.2165393510711799,0.78346064892882,-0.56692129785764,False
memotrap_6,memotrap,round_2,global_pccf_pi0.7,0.7,False,down.,backwards.,0.3083926127527031,0.6916073872472968,-0.3832147744945936,False
memotrap_6,memotrap,round_2,conflict_prompt,1.0,True,down.,backwards.,0.710760572779249,0.2892394272207511,0.4215211455584978,True
memotrap_6,memotrap,round_2,conflict_prompt_pccf_pi0.7,0.7,True,down.,backwards.,0.6664488792154153,0.3335511207845846,0.3328977584308307,True
memotrap_7,memotrap,round_2,standard,1.0,False,appreciated.,heeded.,0.8799418211576386,0.1200581788423613,0.7598836423152773,True
memotrap_7,memotrap,round_2,global_pccf_pi0.7,0.7,False,appreciated.,heeded.,0.9082119469230928,0.0917880530769072,0.8164238938461855,True
memotrap_7,memotrap,round_2,conflict_prompt,1.0,True,appreciated.,heeded.,0.8059429038708738,0.1940570961291261,0.6118858077417476,True
