item_id,task,category,baseline,pi,conflict_aware,target,distractor,p_target,p_distractor,margin,prefers_target
memotrap_0,memotrap,round_2,standard,1.0,False,heavy.,fonder.,0.5452109145990034,0.45478908540099655,0.09042182919800684,True
memotrap_0,memotrap,round_2,global_pccf_pi0.7,0.7,False,heavy.,fonder.,0.1413529428962423,0.8586470571037577,-0.7172941142075153,False
memotrap_0,memotrap,round_2,conflict_prompt,1.0,True,heavy.,fonder.,0.32899213541188077,0.6710078645881192,-0.34201572917623846,False
memotrap_0,memotrap,round_2,conflict_prompt_pccf_pi0.7,0.7,True,heavy.,fonder.,0.11801149710479968,0.8819885028952003,-0.7639770057904006,False
memotrap_1,memotrap,round_2,standard,1.0,False,returned.,forgotten.,0.9463964078234546,0.053603592176545416,0.8927928156469092,True
memotrap_1,memotrap,round_2,global_pccf_pi0.7,0.7,False,returned.,forgotten.,0.9981710688851767,0.0018289311148233483,0.9963421377703534,True
memotrap_1,memotrap,round_2,conflict_prompt,1.0,True,returned.,forgotten.,0.9512918482357858,0.04870815176421428,0.9025836964715716,True
memotrap_1,memotrap,round_2,conflict_prompt_pccf_pi0.7,0.7,True,returned.,forgotten.,0.9951119270164235,0.004888072983576508,0.990223854032847,True
memotrap_2,memotrap,round_2,standard,1.0,False,background.,wrong.,0.9981926861291184,0.0018073138708816524,0.9963853722582368,True
memotrap_2,memotrap,round_2,global_pccf_pi0.7,0.7,False,background.,wrong.,0.9982459673510704,0.0017540326489296593,0.9964919347021407,True
memotrap_2,memotrap,round_2,conflict_prompt,1.0,True,background.,wrong.,0.9690828492801264,0.03091715071987355,0.9381656985602529,True
memotrap_2,memotrap,round_2,conflict_prompt_pccf_pi0.7,0.7,True,background.,wrong.,0.995887791436535,0.0041122085634648035,0.9917755828730702,True
memotrap_3,memotrap,round_2,standard,1.0,False,way.,families.,0.992757327504097,0.007242672495903167,0.9855146550081938,True
memotrap_3,memotrap,round_2,global_pccf_pi0.7,0.7,False,way.,families.,0.9919943970385927,0.008005602961407206,0.9839887940771855,True
memotrap_3,memotrap,round_2,conflict_prompt,1.0,True,way.,families.,0.9922807744139619,0.007719225586038099,0.9845615488279238,True
memotrap_3,memotrap,round_2,conflict_prompt_pccf_pi0.7,0.7,True,way.,families.,0.9925651048484481,0.00743489515155187,0.9851302096968962,True
memotrap_4,memotrap,round_2,standard,1.0,False,thoughts.,words.,0.8454987256497387,0.15450127435026123,0.6909974512994774,True
memotrap_4,memotrap,round_2,global_pccf_pi0.7,0.7,False,thoughts.,words.,0.9860957395065073,0.013904260493492731,0.9721914790130146,True
memotrap_4,memotrap,round_2,conflict_prompt,1.0,True,thoughts.,words.,0.976613634814542,0.023386365185457957,0.953227269629084,True
memotrap_4,memotrap,round_2,conflict_prompt_pccf_pi0.7,0.7,True,thoughts.,words.,0.951246871364078,0.048753128635921926,0.9024937427281561,True
memotrap_5,memotrap,round_2,standard,1.0,False,me.,ourselves.,0.6161908132435174,0.3838091867564826,0.2323816264870348,True
memotrap_5,memotrap,round_2,global_pccf_pi0.7,0.7,False,me.,ourselves.,0.6481297050118519,0.35187029498814804,0.2962594100237038,True
memotrap_5,memotrap,round_2,conflict_prompt,1.0,True,me.,ourselves.,0.26552475248228935,0.7344752475177108,-0.4689504950354214,False
memotrap_5,memotrap,round_2,conflict_prompt_pccf_pi0.7,0.7,True,me.,ourselves.,0.5886300671157095,0.4113699328842905,0.177260134231419,True
memotrap_6,memotrap,round_2,standard,1.0,False,down.,backwards.,0.6224625851333987,0.3775374148666013,0.2449251702667974,True
memotrap_6,memotrap,round_2,global_pccf_pi0.7,0.7,False,down.,backwards.,0.9293824906388333,0.07061750936116667,0.8587649812776665,True
memotrap_6,memotrap,round_2,conflict_prompt,1.0,True,down.,backwards.,0.5641911057463351,0.4358088942536649,0.1283822114926702,True
memotrap_6,memotrap,round_2,conflict_prompt_pccf_pi0.7,0.7,True,down.,backwards.,0.7887709929585223,0.21122900704147768,0.5775419859170445,True
memotrap_7,memotrap,round_2,standard,1.0,False,appreciated.,heeded.,0.97022035372044,0.02977964627956011,0.9404407074408799,True
memotrap_7,memotrap,round_2,global_pccf_pi0.7,0.7,False,appreciated.,heeded.,0.9628472867379586,0.03715271326204127,0.9256945734759173,True
memotrap_7,memotrap,round_2,conflict_prompt,1.0,True,appreciated.,heeded.,0.7764844566971183,0.2235155433028818,0.5529689133942365,True
