"item_id","task","category","baseline","pi","conflict_aware","target","distractor","p_target","p_distractor","margin","prefers_target"
"memotrap_0","memotrap","round_2","global_pccf_pi0.7","0.7","False","heavy.","fonder.","0.1413529428962423","0.8586470571037577","-0.7172941142075153","False"
"memotrap_1","memotrap","round_2","global_pccf_pi0.7","0.7","False","returned.","forgotten.","0.9981710688851767","0.0018289311148233483","0.9963421377703534","True"
"memotrap_2","memotrap","round_2","global_pccf_pi0.7","0.7","False","background.","wrong.","0.9982459673510704","0.0017540326489296593","0.9964919347021407","True"
"memotrap_3","memotrap","round_2","global_pccf_pi0.7","0.7","False","way.","families.","0.9919943970385927","0.008005602961407206","0.9839887940771855","True"
"memotrap_4","memotrap","round_2","global_pccf_pi0.7","0.7","False","thoughts.","words.","0.9860957395065073","0.013904260493492731","0.9721914790130146","True"
"memotrap_5","memotrap","round_2","global_pccf_pi0.7","0.7","False","me.","ourselves.","0.6481297050118519","0.35187029498814804","0.2962594100237038","True"
"memotrap_6","memotrap","round_2","global_pccf_pi0.7","0.7","False","down.","backwards.","0.9293824906388333","0.07061750936116667","0.8587649812776665","True"
"memotrap_7","memotrap","round_2","global_pccf_pi0.7","0.7","False","appreciated.","heeded.","0.9628472867379586","0.03715271326204127","0.9256945734759173","True"
"memotrap_8","memotrap","round_2","global_pccf_pi0.7","0.7","False","college.","war.","0.6220646641431539","0.3779353358568461","0.2441293282863078","True"
"memotrap_9","memotrap","round_2","global_pccf_pi0.7","0.7","False","business.","risks.","0.8594894983379582","0.14051050166204176","0.7189789966759164","True"
"memotrap_10","memotrap","round_2","global_pccf_pi0.7","0.7","False","life.","war.","0.9999257750805367","7.422491946325953e-05","0.9998515501610734","True"
"memotrap_11","memotrap","round_2","global_pccf_pi0.7","0.7","False","happily.","well.","0.9990155840672372","0.0009844159327627292","0.9980311681344745","True"
"memotrap_12","memotrap","round_2","global_pccf_pi0.7","0.7","False","country.","melting-pot.","0.7499460182604446","0.2500539817395555","0.4998920365208891","True"
"memotrap_13","memotrap","round_2","global_pccf_pi0.7","0.7","False","sink.","hold.","0.9942608019807493","0.005739198019250708","0.9885216039614986","True"
"memotrap_14","memotrap","round_2","global_pccf_pi0.7","0.7","False","alive.","poor.","0.9922740141523335","0.007725985847666491","0.984548028304667","True"
"memotrap_15","memotrap","round_2","global_pccf_pi0.7","0.7","False","wounds.","anger.","0.9997509708476732","0.0002490291523267617","0.9995019416953465","True"
"memotrap_16","memotrap","round_2","global_pccf_pi0.7","0.7","False","offence.","offense.","0.5705441962468092","0.4294558037531908","0.14108839249361838","True"
"memotrap_17","memotrap","round_2","global_pccf_pi0.7","0.7","False","song.","platitude.","0.9986502384470665","0.0013497615529334808","0.997300476894133","True"
"memotrap_18","memotrap","round_2","global_pccf_pi0.7","0.7","False","barrel.","flock.","0.9609029117396121","0.03909708826038796","0.9218058234792241","True"
"memotrap_19","memotrap","round_2","global_pccf_pi0.7","0.7","False","busy.","away.","0.9998283256472855","0.00017167435271438458","0.9996566512945712","True"
"memotrap_20","memotrap","round_2","global_pccf_pi0.7","0.7","False","head.","companions.","0.9905731692270806","0.009426830772919444","0.9811463384541612","True"
"memotrap_21","memotrap","round_2","global_pccf_pi0.7","0.7","False","reason.","aim.","0.998313983986325","0.0016860160136749327","0.9966279679726501","True"
"memotrap_22","memotrap","round_2","global_pccf_pi0.7","0.7","False","it.","art.","0.44453058956847613","0.5554694104315239","-0.11093882086304774","False"
"memotrap_23","memotrap","round_2","global_pccf_pi0.7","0.7","False","leave.","bray.","0.378532356250427","0.6214676437495729","-0.24293528749914584","False"
"memotrap_24","memotrap","round_2","global_pccf_pi0.7","0.7","False","child.","baby.","0.9821907964247842","0.017809203575215815","0.9643815928495685","True"
"memotrap_25","memotrap","round_2","global_pccf_pi0.7","0.7","False","others.","bathwater.","0.1380918187742138","0.8619081812257863","-0.7238163624515724","False"
