item_id,low_gain,high_gain,first_pi,final_trace_pi,final_trace_margin,probe_direction
memotrap_0,0.09705,-0.031215,0.6,0.4,0.002641,lower
memotrap_1,0.00567,-0.046767,1.0,1.0,-0.356854,none
memotrap_10,-0.101924,0.059499,1.4,1.4,0.920426,higher
memotrap_12,0.162502,-0.082411,0.6,0.4,-0.031097,lower
memotrap_13,-0.015042,-0.0014,1.0,1.0,0.978909,none
memotrap_14,-0.058557,0.016935,1.0,1.0,0.89272,none
memotrap_15,0.010094,-0.023976,1.0,1.0,0.981635,none
memotrap_16,0.009281,-0.059446,1.0,1.0,0.233018,none
memotrap_17,-0.174085,0.062476,1.4,1.4,-0.163401,higher
memotrap_18,0.203939,-0.166615,0.6,0.4,0.66707,lower
memotrap_19,0.37072,-0.512603,0.6,0.4,0.677028,lower
memotrap_2,-0.000666,-0.000481,1.0,1.0,0.99839,none
memotrap_20,0.100338,-0.026364,0.6,0.4,-0.055758,lower
memotrap_21,0.052077,-0.06006,0.6,0.4,0.834181,lower
memotrap_23,0.005068,-0.022623,1.0,1.0,0.972343,none
memotrap_24,-0.062865,0.014847,1.0,1.0,0.169568,none
memotrap_25,0.014269,-0.002637,1.0,1.0,-0.984426,none
memotrap_26,0.239595,-0.090888,0.6,0.4,-0.011524,lower
memotrap_27,0.017652,-0.032189,1.0,1.0,0.959651,none
memotrap_28,0.21172,-0.166803,0.6,0.4,0.960344,lower
memotrap_29,0.036181,-0.137914,0.6,0.4,0.862636,lower
memotrap_3,0.118642,-0.232153,0.6,0.4,0.628248,lower
memotrap_30,0.044197,-0.014762,0.6,0.4,-0.638831,lower
memotrap_31,0.033547,-0.032585,0.6,0.4,0.966314,lower
memotrap_32,0.116609,-0.108128,0.6,0.4,0.899274,lower
memotrap_33,-0.365821,0.188226,1.4,1.4,0.680745,higher
memotrap_34,0.01453,-0.013936,1.0,1.0,0.949186,none
memotrap_37,0.011868,-0.001432,1.0,1.0,0.864228,none
memotrap_38,0.072481,-0.059411,0.6,0.4,0.941503,lower
memotrap_39,-0.01984,-0.111807,1.0,1.0,0.153027,none
memotrap_4,0.055883,-0.100433,0.6,0.4,0.066217,lower
memotrap_40,0.038998,-0.010745,0.6,0.4,-0.719489,lower
memotrap_41,0.098227,-0.044398,0.6,0.4,0.891729,lower
memotrap_42,0.100245,0.114401,1.4,1.4,0.164576,higher
memotrap_43,0.134181,-0.118735,0.6,0.4,0.387831,lower
memotrap_44,-0.045231,0.05718,1.4,1.4,0.873187,higher
memotrap_45,0.026032,-0.016114,0.6,0.4,0.854151,lower
memotrap_46,-0.007931,0.002716,1.0,1.0,0.889823,none
memotrap_47,0.037331,-0.02542,0.6,0.4,0.982145,lower
memotrap_48,0.21662,-0.02636,0.6,0.4,0.361946,lower
memotrap_49,-0.161128,0.097297,1.4,1.4,-0.122717,higher
memotrap_5,0.065205,-0.061632,0.6,0.4,-0.689874,lower
memotrap_50,0.093067,-0.025731,0.6,0.4,-0.774526,lower
memotrap_51,0.017187,0.024036,1.4,1.4,-0.830508,higher
memotrap_52,-0.134756,0.131146,1.4,1.4,0.61144,higher
memotrap_53,0.393788,-0.16082,0.6,0.4,0.523482,lower
memotrap_54,0.364994,-0.174853,0.6,0.4,0.924384,lower
memotrap_55,0.139473,-0.218671,0.6,0.4,0.662767,lower
memotrap_56,-0.00949,0.111586,1.4,1.4,0.045027,higher
memotrap_57,0.132046,-0.065719,0.6,0.4,-0.713999,lower
memotrap_58,0.321888,-0.262412,0.6,0.4,0.67832,lower
memotrap_59,0.02987,-0.045207,0.6,0.4,-0.028163,lower
memotrap_6,-0.131668,-0.00276,1.0,1.0,-0.566921,none
memotrap_60,0.217731,-0.146825,0.6,0.4,-0.142553,lower
memotrap_61,-0.003167,0.001172,1.0,1.0,0.990966,none
memotrap_62,-0.011964,-0.01974,1.0,1.0,0.845006,none
memotrap_63,0.096422,-0.079605,0.6,0.4,0.988089,lower
memotrap_64,0.003673,-0.009495,1.0,1.0,0.988665,none
memotrap_66,0.09018,-0.139072,0.6,0.4,0.988687,lower
memotrap_67,0.014596,-0.015683,1.0,1.0,-0.731806,none
memotrap_68,0.185812,-0.112851,0.6,0.4,0.649586,lower
memotrap_69,-0.118649,0.120838,1.4,1.4,0.143976,higher
memotrap_7,-0.014259,0.050112,1.4,1.4,0.826625,higher
memotrap_70,0.134362,-0.082045,0.6,0.4,0.776315,lower
memotrap_71,0.325748,-0.252188,0.6,0.4,0.319274,lower
memotrap_72,-0.024886,0.047243,1.4,1.4,-0.7041,higher
memotrap_73,-0.114655,0.007745,1.0,1.0,0.905672,none
memotrap_74,0.005735,-0.031039,1.0,1.0,0.974572,none
memotrap_75,-0.005185,0.010585,1.0,1.0,0.803655,none
memotrap_76,0.288405,-0.134076,0.6,0.4,-0.071601,lower
memotrap_77,-0.145713,0.079874,1.4,1.4,0.839359,higher
memotrap_78,0.144365,-0.227107,0.6,0.4,0.987902,lower
memotrap_79,0.037804,0.0216,0.6,0.4,0.955427,lower
memotrap_8,-0.001782,-8.7e-05,1.0,1.0,0.993416,none
memotrap_80,0.000536,-0.001133,1.0,1.0,0.998991,none
memotrap_81,0.058516,-0.092147,0.6,0.4,0.762297,lower
memotrap_82,-0.012305,0.00271,1.0,1.0,0.904513,none
memotrap_83,-0.05518,0.009935,1.0,1.0,-0.044395,none
memotrap_84,-0.080935,0.015704,1.0,1.0,0.683821,none
memotrap_86,-0.086723,0.032611,1.4,1.4,-0.546958,higher
memotrap_87,-0.019469,-0.010906,1.0,1.0,0.922989,none
memotrap_88,0.059335,-0.035676,0.6,0.4,0.865243,lower
memotrap_89,-0.056089,-0.041142,1.0,1.0,0.341981,none
memotrap_9,-0.011432,0.001479,1.0,1.0,0.965962,none
memotrap_93,0.016982,-0.034247,1.0,1.0,0.966169,none
memotrap_95,-0.095346,-0.12908,1.0,1.0,0.297741,none
memotrap_96,0.014945,-0.017847,1.0,1.0,0.889003,none
memotrap_97,0.211013,-0.234675,0.6,0.4,0.770963,lower
